"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.2043,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.0809,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.9702,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.8919,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.8552,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.8078,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.6735,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.3985,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",101.0867,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.888,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.9241,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.101,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.2986,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.4184,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.4114,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.1906,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.6701,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.0177,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.43612,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.07481,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.8716,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.7532,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.67741,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.59074,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.43984,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.19375,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",97.9305,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.76146,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.77274,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",97.8726,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",97.94094,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",97.89037,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",97.75875,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",97.59885,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",97.44912,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.33272,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.27852,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.30881,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",97.36479,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",97.37284,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.285,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.16749,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",97.1277,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",97.27077,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",97.5785,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",98.05589,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.71299,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",99.37709,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",99.80784,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",99.80534,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",99.55167,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-09",99.25946,
