"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4479,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4286,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2709,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",101.0067,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8506,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.887,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0812,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2428,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.4103,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5441,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3594,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7707,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.93135,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.53367,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.62525,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",100.0066,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.284,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.3552,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2769,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1927,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.1232,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",100.0498,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.98438,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.89809,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.78677,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.75729,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.70534,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.63385,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.56058,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.44495,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.26147,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.1152,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.99189,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.90414,
