"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1961-06",97.15784,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1961-07",97.06767,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1961-08",96.98736,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1961-09",96.94371,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1961-10",96.97765,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1961-11",97.10481,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1961-12",97.37694,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-01",97.85017,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-02",98.40829,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-03",98.90966,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-04",99.24913,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-05",99.47685,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-06",99.65764,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-07",99.84206,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-08",100.0845,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-09",100.4641,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-10",101.0474,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-11",101.714,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1962-12",102.3098,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-01",102.7177,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-02",102.9977,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-03",103.2133,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-04",103.3846,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-05",103.5061,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-06",103.5315,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-07",103.4079,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-08",103.2063,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-09",103.0058,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-10",102.8545,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-11",102.731,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1963-12",102.5996,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-01",102.4384,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-02",102.2749,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-03",102.1585,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-04",102.1346,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-05",102.1727,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-06",102.2402,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-07",102.3148,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-08",102.3679,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-09",102.3592,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-10",102.2539,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-11",102.1003,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1964-12",101.9529,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1965-01",101.8422,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1965-02",101.7392,
"NZL","BCI","AMPLITUD","LTRENDIDX","M","1965-03",101.5905,
