"Country","Year","Unemployment_Rate","GDP","Foreign_Investment","GDP_Growth","CPI"
"New Zealand",1991,10.61,42744828653.3514,NA,-1.09079205331641,2.60239285999773
"New Zealand",1992,10.67,41649386969.5133,NA,1.0938335610238,1.01456027171234
"New Zealand",1993,9.8,46775038748.7573,NA,6.39152945295309,1.28820776574389
"New Zealand",1994,8.35,55313381442.5437,NA,5.11924811293427,1.74537790773741
"New Zealand",1995,6.46,63916899263.9355,NA,4.72208104417406,3.75494413677554
"New Zealand",1996,6.29,70140835299.0148,NA,3.61567438032083,2.28571305402195
"New Zealand",1997,6.86,66073130218.3528,NA,2.0791970200651,1.18714833105633
"New Zealand",1998,7.72,56226503975.8201,NA,0.859093007702612,1.26524409915407
"New Zealand",1999,7.02,58762260625.8758,NA,5.37536456631665,-0.114267129777519
"New Zealand",2000,6.13,52622954598.9299,-2633023382.65499,2.87134325680614,2.61523446246318
"New Zealand",2001,5.43,53872463497.1703,-866602286.551802,3.41088144170033,2.62581630392901
"New Zealand",2002,5.28,66627729311.4495,-1441864001.89419,4.71396264184152,2.6770925771161
"New Zealand",2003,4.75,88250885550.2626,4009309522.45554,4.72847645436924,1.75357444759553
"New Zealand",2004,4.01,103905628688.949,-1466137711.61376,4.08895692275048,2.2902490284757
"New Zealand",2005,3.81,114720129550.095,-2547518163.80027,3.3533157967012,3.03702332617015
"New Zealand",2006,3.86,111538810712.665,-3312502764.40405,2.79846349197119,3.36540196171992
"New Zealand",2007,3.66,137188946865.584,-344882071.743052,3.06511783082671,2.37614310290657
"New Zealand",2008,4.17,133131369930.414,-1752697387.11544,-1.21071159567889,3.9589493731206
"New Zealand",2009,6.12,121373602348.679,-2020193743.88431,-0.112067630234833,2.1156511055456
"New Zealand",2010,6.56,146517541181.254,746956268.90748,1.46675116493462,2.30202385958576
"New Zealand",2011,6.49,168291357111.739,-1498708888.07246,2.22157982285107,4.02790667392038
"New Zealand",2012,6.93,176206659722.524,-3937555731.20448,2.27303148188469,1.05991318445635
"New Zealand",2013,5.84,190906575136.003,-1344655282.77846,2.76492098657732,1.13442266445812
"New Zealand",2014,5.43,201313497220.917,-1829175238.84864,3.81083683791805,1.22750750597405
"New Zealand",2015,5.41,178064471137.921,57648272.7633063,3.73643071502539,0.292704628136101
"New Zealand",2016,5.15,188838342527.975,-2772739977.47833,3.80175804809272,0.646240284454502
"New Zealand",2017,4.74,206556258844.567,-2470087075.63769,3.52441324940476,1.85078767452532
"New Zealand",2018,4.33,211886686924.483,-1872342297.12585,3.52518320036963,1.59829703801698
"New Zealand",2019,4.11,213091987153.092,-4474410770.79215,2.44598315515373,1.61963190184049
"New Zealand",2020,4.6,212569779569.515,-3413149095.31518,-0.653921432098016,1.71456170007244
"New Zealand",2021,3.78,255551704625.831,-5609121605.15989,5.16784735916997,3.94112060778728
"New Zealand",2022,3.253,247234053739.267,-6968028863.43349,2.15697977649043,7.17222476016446
