"Year","Unemployment_Rate","GDP","Foreign_Investment","GDP_Growth","CPI","Mean_Exchange_Rate","Export_Billion","mean_CCI","mean_BCI"
1991,10.61,42744828653.3514,NA,-1.09079205331641,2.60239285999773,1.72767460886336,12.46,96.8786883333333,99.1852841666667
1992,10.67,41649386969.5133,NA,1.0938335610238,1.01456027171234,1.85929624942375,12.99,99.4132233333333,103.025233333333
1993,9.8,46775038748.7573,NA,6.39152945295309,1.28820776574389,1.84994013781873,14.31,101.085166666667,103.5624
1994,8.35,55313381442.5437,NA,5.11924811293427,1.74537790773741,1.68568058209859,17.02,102.116308333333,103.182183333333
1995,6.46,63916899263.9355,NA,4.72208104417406,3.75494413677554,1.52351430225039,18.79,101.725283333333,100.27095
1996,6.29,70140835299.0148,NA,3.61567438032083,2.28571305402195,1.45475593109019,19.88,101.403783333333,99.836195
1997,6.86,66073130218.3528,NA,2.0791970200651,1.18714833105633,1.51207336982713,18.71,100.340914166667,99.82328
1998,7.72,56226503975.8201,NA,0.859093007702612,1.26524409915407,1.8681895523498,16.65,98.96632,98.9655191666667
1999,7.02,58762260625.8758,NA,5.37536456631665,-0.114267129777519,1.88941798123901,18.19,100.70585,102.132641666667
2000,6.13,52622954598.9299,-2633023382.65499,2.87134325680614,2.61523446246318,2.20134865529682,18.81,100.094051666667,99.4519566666667
2001,5.43,53872463497.1703,-866602286.551802,3.41088144170033,2.62581630392901,2.37771502002657,19.09,101.019633333333,99.8407925
2002,5.28,66627729311.4495,-1441864001.89419,4.71396264184152,2.6770925771161,2.16131968012959,21.89,101.27195,100.507974166667
2003,4.75,88250885550.2626,4009309522.45554,4.72847645436924,1.75357444759553,1.72273637589725,26.33,101.217733333333,99.505815
2004,4.01,103905628688.949,-1466137711.61376,4.08895692275048,2.2902490284757,1.50868977878454,30.7,101.870675,99.4095983333333
2005,3.81,114720129550.095,-2547518163.80027,3.3533157967012,3.03702332617015,1.41999819641114,32.45,101.406366666667,98.3634283333333
2006,3.86,111538810712.665,-3312502764.40405,2.79846349197119,3.36540196171992,1.54226217871478,33.03,100.1630575,98.40605
2007,3.66,137188946865.584,-344882071.743052,3.06511783082671,2.37614310290657,1.36045677441548,40.16,100.545146666667,98.9742475
2008,4.17,133131369930.414,-1752697387.11544,-1.21071159567889,3.9589493731206,1.42255000798752,42.71,98.459395,97.6360058333333
2009,6.12,121373602348.679,-2020193743.88431,-0.112067630234833,2.1156511055456,1.60019623964934,34.88,99.8877741666667,99.8188625
2010,6.56,146517541181.254,746956268.90748,1.46675116493462,2.30202385958576,1.38764517122514,44.36,100.644126666667,101.510258333333
2011,6.49,168291357111.739,-1498708888.07246,2.22157982285107,4.02790667392038,1.26582022577298,51.15,99.6409366666667,100.887116666667
2012,6.93,176206659722.524,-3937555731.20448,2.27303148188469,1.05991318445635,1.23427889549738,50.85,99.2103616666667,101.075875
2013,5.84,190906575136.003,-1344655282.77846,2.76492098657732,1.13442266445812,1.21921062101229,55.01,100.674791666667,102.449083333333
2014,5.43,201313497220.917,-1829175238.84864,3.81083683791805,1.22750750597405,1.20533612151826,56.33,101.168208333333,102.148508333333
2015,5.41,178064471137.921,57648272.7633063,3.73643071502539,0.292704628136101,1.43416555699056,49.78,100.322909166667,100.604188333333
2016,5.15,188838342527.975,-2772739977.47833,3.80175804809272,0.646240284454502,1.43680522269085,50.32,99.9382216666667,101.103041666667
2017,4.74,206556258844.567,-2470087075.63769,3.52441324940476,1.85078767452532,1.40710953119183,56.99,100.287475,101.004266666667
2018,4.33,211886686924.483,-1872342297.12585,3.52518320036963,1.59829703801698,1.44498123317336,59.07,99.805495,99.3596416666667
2019,4.11,213091987153.092,-4474410770.79215,2.44598315515373,1.61963190184049,1.51756625796983,58.22,99.4596616666667,98.4548025
2020,4.6,212569779569.515,-3413149095.31518,-0.653921432098016,1.71456170007244,1.5415363376158,46.21,98.9657,98.3571008333333
2021,3.78,255551704625.831,-5609121605.15989,5.16784735916997,3.94112060778728,1.41384428477422,56.61,99.3550375,99.7001416666667
